#{"t_start": 1709852754.262173, "env_id": null}
r,l,t
-741,480,6.789438
-846,480,7.403917
66,480,8.091443
-93,480,8.713865
102,480,9.042435
-141,480,9.47792
-834,480,9.743153
279,480,9.868601
414,480,10.036205
-810,480,10.63903
-924,480,11.267483
-294,480,11.841323
-69,480,12.424516
90,480,12.883729
153,480,13.416423
-150,480,13.833939
-657,480,13.983748
-789,480,14.573668
180,480,14.782035
-33,480,14.988237
420,480,15.273843
216,480,15.704696
-528,480,15.820575
171,480,15.938221
-537,480,16.058103
-525,480,16.168677
-579,480,16.308276
270,480,16.433537
-609,480,16.612306
-411,480,16.73331
153,480,16.845783
-456,480,16.960048
-681,480,17.071734
-546,480,17.191293
378,480,17.318062
-573,480,17.443395
411,480,17.573087
369,480,17.711411
-435,480,17.848374
333,480,17.983778
-723,480,18.124291
-564,480,18.270853
195,480,18.416463
351,480,18.553193
-423,480,18.693027
345,480,18.820454
183,480,18.939685
171,480,19.058242
186,480,19.181037
-327,480,19.310143
-60,480,19.444984
327,480,19.582052
-771,480,19.718768
-609,480,19.861369
-501,480,20.007758
117,480,20.153024
201,480,20.313351
288,480,20.475401
306,480,20.636211
261,480,20.787575
-540,480,20.956037
171,480,21.139791
-594,480,21.308192
-426,480,21.485844
-57,480,21.678556
159,480,21.84312
-756,480,22.008689
-180,480,22.166353
168,480,22.329405
-360,480,22.493474
-936,480,22.681905
-687,480,22.841323
81,480,23.001734
-615,480,23.146494
258,480,23.286764
36,480,23.423607
-831,480,23.569743
174,480,23.714405
6,480,23.851454
-66,480,23.985488
-777,480,24.126225
-189,480,24.267897
234,480,24.412904
-543,480,24.560526
228,480,24.723023
33,480,24.883952
-159,480,25.040554
120,480,25.245987
-927,480,25.465322
339,480,25.629753
210,480,25.783831
-609,480,25.936061
204,480,26.109764
-813,480,26.274574
-681,480,26.426321
-213,480,26.567716
-318,480,26.705649
30,480,26.853158
-867,480,26.986516
-357,480,27.116627
-183,480,27.253436
177,480,27.377406
99,480,27.499907
57,480,27.627574
60,480,27.755111
-51,480,27.877801
-672,480,28.005339
-105,480,28.132972
-105,480,28.256454
-585,480,28.378548
150,480,28.50757
-636,480,28.620857
177,480,28.735758
414,480,28.86044
138,480,28.985395
-408,480,29.106778
-303,480,29.223952
-180,480,29.340685
-738,480,29.473364
21,480,29.588226
30,480,29.700366
378,480,29.813972
315,480,29.931561
429,480,30.06807
108,480,30.285864
-822,480,30.46946
36,480,30.652934
288,480,30.813771
378,480,30.983789
93,480,31.152742
411,480,31.323027
378,480,31.47632
84,480,31.623198
-768,480,31.758275
-177,480,31.885498
-810,480,32.01246
-723,480,32.152094
-702,480,32.278947
-33,480,32.400856
-744,480,32.520579
-348,480,32.638594
57,480,32.753274
-522,480,32.866728
-147,480,32.989229
48,480,33.115477
-354,480,33.233849
-720,480,33.353439
165,480,33.466909
36,480,33.578743
-216,480,33.687242
30,480,33.792421
375,480,33.898845
303,480,34.00597
21,480,34.117106
-138,480,34.223797
-399,480,34.334984
-297,480,34.446761
48,480,34.572302
6,480,34.702018
144,480,34.816438
0,480,34.929966
-558,480,35.045974
-144,480,35.17481
-516,480,35.294492
-615,480,35.431293
-15,480,35.560926
138,480,35.686554
-21,480,35.809007
-498,480,35.931949
-564,480,36.054897
-834,480,36.209574
-33,480,36.363857
-72,480,36.510088
-291,480,36.644825
-303,480,36.779495
-876,480,36.903243
-336,480,37.030727
-51,480,37.17743
-174,480,37.308792
-96,480,37.438239
-279,480,37.569828
-174,480,37.7081
-318,480,37.840444
-156,480,37.980077
-729,480,38.10798
-75,480,38.229051
-303,480,38.342286
-243,480,38.457751
144,480,38.566945
-87,480,38.694019
-810,480,38.809304
-633,480,38.932481
-666,480,39.054737
-573,480,39.175256
-504,480,39.294212
-543,480,39.408014
264,480,39.525443
-111,480,39.642721
-300,480,39.765686
-336,480,39.882428
288,480,40.013229
159,480,40.136809
-126,480,40.254689
-558,480,40.366084
-642,480,40.478098
-543,480,40.595181
-672,480,40.724988
-507,480,40.849935
-144,480,40.972944
-471,480,41.08647
-741,480,41.199137
-807,480,41.312527
-198,480,41.460209
117,480,41.605818
54,480,41.74038
237,480,41.870604
-168,480,42.003014
-3,480,42.134956
-174,480,42.273419
-495,480,42.410801
-180,480,42.549319
-453,480,42.712381
411,480,42.866054
-189,480,43.019286
-417,480,43.172043
-387,480,43.337651
27,480,43.487221
-201,480,43.638054
-51,480,43.798576
-207,480,43.963779
-423,480,44.121672
-702,480,44.278563
81,480,44.47266
-69,480,44.64045
-222,480,44.786684
-660,480,44.916831
-231,480,45.046205
375,480,45.1765
-234,480,45.304026
93,480,45.432681
45,480,45.558332
318,480,45.686584
-246,480,45.81235
-315,480,45.939245
-726,480,46.080174
-528,480,46.211044
-285,480,46.335905
-261,480,46.486133
-399,480,46.639278
-186,480,46.776284
-270,480,46.904088
111,480,47.03564
294,480,47.160253
-6,480,47.285887
-282,480,47.43061
-102,480,47.562937
-288,480,47.691382
-771,480,47.831861
-651,480,47.988138
-453,480,48.179099
264,480,48.375017
-240,480,48.562668
-306,480,48.774513
-633,480,48.967578
-369,480,49.146183
-756,480,49.329357
-597,480,49.494149
-321,480,49.668312
-492,480,49.822583
-270,480,49.963547
36,480,50.108299
204,480,50.24726
-252,480,50.398784
-339,480,50.532827
-387,480,50.693739
-243,480,50.838994
-348,480,50.976012
-321,480,51.119206
-354,480,51.261761
-369,480,51.411451
-360,480,51.586817
90,480,51.768057
-366,480,51.924773
33,480,52.0783
-372,480,52.240846
357,480,52.391644
366,480,52.557671
-381,480,52.702957
-786,480,52.842959
-495,480,52.991211
-897,480,53.161639
-321,480,53.311615
204,480,53.470916
123,480,53.627846
-135,480,53.772753
225,480,53.920098
-408,480,54.07424
-834,480,54.222212
300,480,54.362564
-417,480,54.493815
213,480,54.630732
-423,480,54.771936
393,480,54.933466
-429,480,55.08988
6,480,55.237746
-435,480,55.382048
192,480,55.532965
-441,480,55.687396
252,480,55.833428
-90,480,55.970487
-255,480,56.118536
195,480,56.257359
-234,480,56.392097
-459,480,56.546672
237,480,56.737761
-411,480,56.911364
-468,480,57.070417
-177,480,57.222553
276,480,57.373999
-210,480,57.514826
75,480,57.671533
-117,480,57.827012
-318,480,57.988986
-312,480,58.143189
240,480,58.29244
-495,480,58.438786
-525,480,58.593579
48,480,58.825376
105,480,59.094242
-507,480,59.439606
-918,480,59.896209
225,480,60.297277
-480,480,60.495851
120,480,60.676843
399,480,60.839006
-438,480,61.003358
336,480,61.183158
-288,480,61.357526
-426,480,61.51511
204,480,61.690567
-438,480,61.881499
-333,480,62.067113
408,480,62.253726
-18,480,62.425008
-102,480,62.581529
-555,480,62.729222
-486,480,62.875569
-357,480,63.018888
-432,480,63.168658
12,480,63.321114
-147,480,63.480871
-495,480,63.658937
-405,480,63.815946
-579,480,63.964454
-48,480,64.125911
-585,480,64.286653
-324,480,64.44835
-591,480,64.598869
240,480,64.750851
372,480,64.904856
-600,480,65.054784
-834,480,65.206868
-600,480,65.359843
-363,480,65.51308
-474,480,65.662198
-615,480,65.810149
-657,480,65.958914
-879,480,66.117603
123,480,66.270816
-588,480,66.431551
-630,480,66.598347
-459,480,66.796215
-636,480,66.997897
-492,480,67.171289
-642,480,67.342281
-495,480,67.509521
-459,480,67.665138
-651,480,67.814363
-723,480,67.961903
-483,480,68.111524
366,480,68.254995
246,480,68.400847
-465,480,68.546197
474,480,68.729119
-405,480,68.887236
-504,480,69.032994
240,480,69.174505
276,480,69.304332
-564,480,69.449743
-363,480,69.583067
-690,480,69.73356
-456,480,69.87468
-603,480,70.019962
-699,480,70.167358
141,480,70.31036
474,480,70.461044
-489,480,70.61271
-381,480,70.768631
-693,480,70.928929
-618,480,71.086309
-429,480,71.23965
237,480,71.379665
-426,480,71.524688
-579,480,71.675001
198,480,71.819731
-735,480,72.006951
-792,480,72.178694
-486,480,72.347773
-462,480,72.500804
-9,480,72.657297
-525,480,72.810379
-567,480,72.955789
-261,480,73.103415
375,480,73.251711
444,480,73.406303
30,480,73.563293
258,480,73.719637
-606,480,73.868796
183,480,74.024836
297,480,74.184333
-216,480,74.320255
-597,480,74.453138
93,480,74.592272
348,480,74.730309
-792,480,74.881262
444,480,75.041964
78,480,75.208972
285,480,75.364558
-162,480,75.521011
276,480,75.670923
-543,480,75.823939
219,480,75.973122
-798,480,76.124009
-216,480,76.272655
-156,480,76.420956
-705,480,76.567231
-654,480,76.71316
66,480,76.891936
417,480,77.080036
387,480,77.271072
-774,480,77.436106
-549,480,77.595163
480,480,77.758091
-762,480,77.917008
-117,480,78.075704
-156,480,78.226196
-255,480,78.379078
-816,480,78.529689
-363,480,78.682471
-36,480,78.826349
-219,480,78.966882
429,480,79.100309
-498,480,79.26577
-78,480,79.42297
-384,480,79.56686
-492,480,79.724174
-483,480,79.879556
273,480,80.036059
-852,480,80.220375
-291,480,80.380895
471,480,80.543263
-777,480,80.702425
435,480,80.85844
-834,480,81.009455
84,480,81.170658
-762,480,81.317138
99,480,81.460234
-921,480,81.593574
-657,480,81.730547
195,480,81.868823
432,480,82.038408
309,480,82.192918
-654,480,82.339527
-258,480,82.480066
-213,480,82.614687
-450,480,82.747302
-720,480,82.876155
-75,480,83.003054
360,480,83.129228
-354,480,83.251612
-129,480,83.376252
273,480,83.499558
-858,480,83.620406
123,480,83.742047
-771,480,83.865896
-18,480,83.984286
411,480,84.092663
-618,480,84.203924
-177,480,84.31633
-666,480,84.426884
450,480,84.537407
282,480,84.648813
297,480,84.765725
-507,480,84.882302
297,480,85.003723
-27,480,85.126113
93,480,85.252929
381,480,85.375713
-42,480,85.49985
-777,480,85.62116
-174,480,85.744729
270,480,85.872504
300,480,86.002478
-489,480,86.129248
-945,480,86.253351
-699,480,86.377903
-252,480,86.511742
-132,480,86.636624
-276,480,86.755322
348,480,86.882105
123,480,87.028942
-834,480,87.202053
-852,480,87.353055
312,480,87.498898
-51,480,87.648999
-441,480,87.791529
-144,480,87.932236
-609,480,88.063241
171,480,88.19116
-378,480,88.31849
-726,480,88.442979
-600,480,88.566567
294,480,88.688357
-819,480,88.812761
-276,480,88.937553
78,480,89.059329
-60,480,89.175102
300,480,89.2867
57,480,89.40026
333,480,89.50686
324,480,89.621014
-477,480,89.735072
285,480,89.84826
-807,480,89.961384
318,480,90.078103
-123,480,90.195599
-123,480,90.313519
-819,480,90.430805
306,480,90.554316
-345,480,90.678967
-438,480,90.801236
-21,480,90.922191
270,480,91.046141
201,480,91.173314
-831,480,91.294667
-294,480,91.412537
282,480,91.530933
150,480,91.651873
-480,480,91.770237
-750,480,91.889483
165,480,92.009983
-462,480,92.158617
264,480,92.306183
-270,480,92.446282
-693,480,92.581757
-363,480,92.710759
78,480,92.840068
-351,480,92.970311
-96,480,93.096624
-285,480,93.223208
-321,480,93.348901
-450,480,93.471817
-732,480,93.596361
-576,480,93.720351
51,480,93.855965
-810,480,93.98924
-48,480,94.121847
-687,480,94.247097
-717,480,94.363745
-438,480,94.483971
-579,480,94.61001
-633,480,94.732773
-486,480,94.854291
-705,480,94.979752
-288,480,95.103381
138,480,95.223508
192,480,95.344908
-288,480,95.472241
186,480,95.593263
99,480,95.713639
-474,480,95.831403
102,480,95.950334
3,480,96.077038
-48,480,96.200028
252,480,96.320135
165,480,96.442436
-246,480,96.568617
-585,480,96.691367
-531,480,96.814406
-669,480,96.933962
150,480,97.064916
-834,480,97.220586
-405,480,97.3823
141,480,97.528099
-435,480,97.665155
15,480,97.796851
-525,480,97.923463
297,480,98.047747
114,480,98.17436
-741,480,98.297737
